"Date","SP.Shiller"
1975-01-28,25.252
1975-02-25,25.293
1975-03-25,25.361
1975-04-29,25.404
1975-05-27,25.481
1975-06-24,25.468
1975-07-29,25.613
1975-08-26,25.772
1975-09-30,26.032
1975-10-28,26.218
1975-11-25,26.397
1975-12-30,26.473
1976-01-27,26.573
1976-02-24,26.624
1976-03-30,26.858
1976-04-27,27.132
1976-05-25,27.458
1976-06-29,27.547
1976-07-27,27.778
1976-08-31,27.96
1976-09-28,28.165
1976-10-26,28.265
1976-11-30,28.438
1976-12-28,28.661
1977-01-25,28.861
1977-02-22,29.172
1977-03-29,29.597
1977-04-26,30.148
1977-05-31,30.537
1977-06-28,30.766
1977-07-26,31.075
1977-08-30,31.384
1977-09-27,31.79
1977-10-25,32.188
1977-11-29,32.525
1977-12-27,32.821
1978-01-31,33.147
1978-02-28,33.515
1978-03-28,33.981
1978-04-25,34.428
1978-05-30,34.907
1978-06-27,35.44
1978-07-25,35.946
1978-08-29,36.425
1978-09-26,36.809
1978-10-31,37.165
1978-11-28,37.555
1978-12-26,37.994
1979-01-30,38.495
1979-02-27,38.975
1979-03-27,39.494
1979-04-24,40.008
1979-05-29,40.53
1979-06-26,41.046
1979-07-31,41.505
1979-08-28,41.924
1979-09-25,42.278
1979-10-30,42.651
1979-11-27,42.955
1979-12-25,43.216
1980-01-29,43.44
1980-02-26,43.694
1980-03-25,44.062
1980-04-29,44.467
1980-05-27,44.773
1980-06-24,45.047
1980-07-29,45.369
1980-08-26,45.638
1980-09-30,45.857
1980-10-28,46.043
1980-11-25,46.225
1980-12-30,46.41
1981-01-27,46.558
1981-02-24,46.748
1981-03-31,47.025
1981-04-28,47.447
1981-05-26,47.778
1981-06-30,48.086
1981-07-28,48.334
1981-08-25,48.579
1981-09-29,48.668
1981-10-27,48.734
1981-11-24,48.737
1981-12-29,48.775
1982-01-26,48.805
1982-02-23,48.885
1982-03-30,48.862
1982-04-27,48.931
1982-05-25,48.998
1982-06-29,48.998
1982-07-27,48.986
1982-08-31,48.965
1982-09-28,48.984
1982-10-26,48.987
1982-11-30,48.992
1982-12-28,49.073
1983-01-25,49.235
1983-02-22,49.488
1983-03-29,49.691
1983-04-26,49.946
1983-05-31,50.196
1983-06-28,50.441
1983-07-26,50.73
1983-08-30,50.956
1983-09-27,51.09
1983-10-25,51.184
1983-11-29,51.253
1983-12-27,51.386
1984-01-31,51.534
1984-02-28,51.7
